Type,Argument types
action,"do(actor, action)"
action,be(actor)
action,"drink(actor, beverage)"
action,"eat(person, thought)"
action,"end_quest(entity, entity)"
action,"give(actor, actor, metaverse_object)"
action,"go(actor, metaverse_object)"
action,halt(actor)
action,"deactivate(actor, living_thing)"
action,"move(person, metaverse_object, container, container)"
action,"move(person, metaverse_object, container)"
action,"put(actor, metaverse_object, container)"
action,"press(actor, button)"
action,"get(actor, metaverse_object)"
action,"find(actor, metaverse_object)"
action,"take(actor, metaverse_object, container)"
action,"talk(actor, actor, entity)"
action,"tell(actor, actor, action)"
action,"tell(actor, actor, condition)"
action,"tell_value(actor, actor, condition)"
action,"tell_about(actor, actor, entity)"
action,"ask_about(actor, actor, entity)"
action,"ask(actor, actor, action)"
action,"ask(actor, actor, condition)"
action,"ask_value(actor, actor, condition)"
action,"comm(keystrokes,actor, action)"
action,"comm(keystrokes,actor, assertion)"
action,"comm(keystrokes,actor, question)"
action,"bring(person, metaverse_object, metaverse_object)"
action,"search_for(actor, metaverse_object, metaverse_object)"
action,"look_for(actor, metaverse_object)"
action,"sleep(actor, container)"
action,"examine(actor, metaverse_object)"
action,"read(actor, document)"
action,"switch(actor, appliance, entity)"
action,"believes(actor, condition)"
action,"watch(actor, metaverse_object)"
action,"leave(actor, container)"
action,flee(actor)
action,"operate(actor, device)"
action,"thinks(actor, condition)"
% Conditions,
condition,can(action)
condition,away(living_thing)
condition,here(living_thing)
condition,present(metaverse_object)
condition,would(condition)
condition,would(action)
condition,shall(action)
condition,may(action)
condition,should(action)
condition,"location(metaverse_object, container)"
condition,"contained_in(metaverse_object, container)"
condition,"related(entity, relation, entity)"
condition,"manner(action, manner)"
condition,be(entity)
condition,"be(entity, entity)"
condition,fine(person)
condition,good(person)
condition,okay(person)
condition,thirsty(person)
condition,hungry(person)
condition,"iz_a(entity, kind)"
condition,"kind_of(kind, kind)"
condition,"toggled_state(appliance, entity, entity)"
condition,"wants(actor, condition)"
condition,"wants(actor, action)"
condition,"needs(actor, condition)"
condition,"needs(actor, action)"
condition,"likes(actor, condition)"
condition,"likes(actor, action)"
condition,"thinks(actor, condition)"
condition,"believes(actor, condition)"
condition,"know(actor, condition)"
condition,"knows_value(actor, condition)"
condition,entity:action
condition,entity:condition
condition,"(condition, condition)"
condition,"(action, condition)"
